AssignmentId,Answer.box1.on,Answer.box10.on,Answer.box11.on,Answer.box12.on,Answer.box2.on,Answer.box3.on,Answer.box4.on,Answer.box5.on,Answer.box6.on,Answer.box7.on,Answer.box8.on,Answer.box9.on,Answer.sentence1,Answer.sentence2,Answer.sentence3,Answer.sentence4,Answer.sentence5
308Q0PEVBJY81PZZ3MOGDH03FJU9IW,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,The tub leaked water.,It annoys me that Fido barks.,I'll work on it if I can.,An evil thought struck Dave.,John lay the ball in the box.
30LB5CDZNNVC0L0W3UT9K12098E0ZH,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,The tub leaked water.,It annoys me that Fido barks.,I'll work on it if I can.,An evil thought struck Dave.,John lay the ball in the box.
30OG32W0S5WHAM178DHUA3XVSF2NEY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The tube leaked water,It annoys me that fido barks,I'll work on it if I can.,An evil thought struck Dave.,John lay the ball in the box.
317HQ483IIDTQR3T4W7LVIVNL9RINN,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,The tub leaked water.,It annoys me that Fido barks.,I'll work on it if I can.,An evil thought struck Dave.,John lay the ball in the box.
317HQ483IIDTQR3T4W7LVIVNLO6NI1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,The tub leaked water.,It annoys me that Fido barks.,I'll work on it if I can.,An evil thought struck Dave.,John lay the ball in the box.
3180JW2OTFXLVDHTIEWZD2A17715JP,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,The tub leaked water.,It annoys me that Fido barks.,I'll work on it if I can.,An evil thought struck Dave.,John lay the ball in the box.
31HQ4X3T33VSW534XVLKMSXLPX1SL1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,The tub leaked water.,It annoys me that Fido barks.,I'll work on it if I can.,An evil thought struck Dave.,John lay the ball in the box.
31IBVUNM93KMO5AC5FNR22C8RMIFVV,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,The tub leaked water.,It annoys me that Fido barks.,I'll work on it if I can.,An evil thought struck Dave.,John lay the ball in the box.
320DUZ38GI7JBA6DZAFQHZ1QXCKGJF,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,The tub leaked water.,It annoys me that Fido  barks.,I'll work on it if I can.,An evil thought struck Dave.,John lay the ball in the box.
32M8BPYGA47NGZM7HSUQ5YMQK4XIGL,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The tube leaked water.,It annoys me that Fido barks.,I'll work on it if I can.,An evil thought struck Dave.,John lay the ball in the box.
